Title,Artist,Key,Tempo,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
"DeDeDepella / Spinal Beats (Boys Noize / Thomas Bangalter)","Boys Noize","6A",130.0,"Electro","Bugged Out! Presents Suck My Deck Mixed By Boys Noize","",1/13/2024,"C:\iTunes\Music\Boys Noize\Bugged Out! Presents Suck My Deck Mixed By Boys Noize\23 DeDeDepella _ Spinal Beats (Boys Noize _ Thomas Bangalter).mp3","6A - 8",2008,-12.8 dB,8,7,82
"Devil's Hunt","Carlo Savina","12A",123.5,"Soundtrack","The Legend of Blood Castle (Le vergini cavalcano la morte)","",1/13/2024,"C:\iTunes\Music\Carlo Savina\The Legend of Blood Castle (Le vergini cavalcano la morte)\06 Devil's Hunt.mp3","12A - 2 - CUERipper v2.1.6 Copyright (C) 2008-13 Grigory Chudov",1973,-25.1 dB,2,8,0
"Killing in the Name of Sebastian","Sebastian","2A",126.1,"Other","Remixes","",1/13/2024,"C:\iTunes\Music\Sebastian\Remixes\Killing in the Name of Sebastian.mp3","2A - 6",2007,-6.3 dB,6,7,57876
"Can't Relax Yet","Konami","1A",120.5,"Other","Metal Gear Solid Sound Clips","",1/13/2024,"C:\iTunes\Music\Konami\Metal Gear Solid Sound Clips\Can't Relax Yet.mp3","1A - 4 - All",2008,-24.5 dB,4,8,0
"Track 24","The Ramones","12B",92.7,"Other","Greatest Hits Collection","",1/13/2024,"C:\iTunes\Music\The Ramones\Greatest Hits Collection\24 Track 24.mp3","12B - 7",,-14.1 dB,7,4,102
"Range Rider","NFL Films Music","9A",145.9,"Soundtrack","Autumn Thunder CD#5","",1/13/2024,"C:\iTunes\Music\NFL Films Music\Autumn Thunder CD#5\10 Range Rider.mp3","9A - 4",2004,-16.6 dB,4,8,2
"Disco Nights","GQ","4A",123.2,"Pop","","",1/13/2024,"C:\iTunes\Music\GQ\Unknown Album\Disco Nights.mp3","4A - 7",,-18.0 dB,7,7,0
"Harder, Better, Faster, Stronger (RainDropz! 2008 Bootleg Mix)","Daft Punk","6A",142.0,"House","Harder, Better, Faster, Stronger","",1/13/2024,"C:\iTunes\Music\Daft Punk\Harder, Better, Faster, Stronger\02 Harder, Better, Faster, Stronger (RainDropz! 2008 Bootleg Mix).MP3","6A - 8",2001,-10.1 dB,8,8,281
"Lost In Your Eyes","Tommy James & The Shondells","2A",147.8,"","Gettin' Together","",1/13/2024,"C:\iTunes\Music\Tommy James & The Shondells\Gettin' Together\12 Lost In Your Eyes.mp3","2A - 3",1967,-15.1 dB,3,6,0
"Mangu Kick 03","","All",157.7,"","","",6/29/2023,"D:\Breakfast Beats\Despierta Boricua\Despierta Boricua Drop The Hate Project\Samples\Imported\Mangu Kick 03.wav"," - 0",,-6.1 dB,0,0,0
"We Are Young (feat. Janelle Monáe)","Fun.","7B",115.9,"Alternative","","",1/13/2024,"C:\iTunes\Music\Fun_\Unknown Album\01 We Are Young (feat. Janelle Monáe).m4a","7B - 4",2011,-10.3 dB,4,3,403
"Machine Gun Funk (Parliament Sample Removed)","The Notorious B.I.G.","5A",93.8,"Hip Hop/Rap","Ready to Die - The Remaster","",1/13/2024,"C:\iTunes\Music\The Notorious B.I.G_\Ready to Die - The Remaster\04 Machine Gun Funk (Parliament Sample Removed).mp3","5A - 6",2004,-11.5 dB,6,8,7
"Bold as Love","Jimi Hendrix","4B",114.1,"Rock","Experience Hendrix: The Best of Jimi Hendrix","",1/13/2024,"C:\iTunes\Music\Jimi Hendrix\Experience Hendrix_ The Best of Jimi Hendrix\12 Bold as Love.mp3","4B - 6",1998,-13.2 dB,6,8,374
"Eyes Up","Jay Dee","11A",93.1,"Hip Hop/Rap","Fantastic Vol.2","",1/13/2024,"C:\iTunes\Music\Jay Dee\Fantastic Vol.2\16 Eyes Up.mp3","11A - 6",2000,-13.9 dB,6,8,1187
"Fame","Irene Cara","4A",130.8,"General Pop","Sounds Of The Eighties: 1980","",1/13/2024,"C:\iTunes\Music\Irene Cara\Sounds Of The Eighties_ 1980\15 Fame.mp3","4A - 7",,-17.4 dB,7,8,0
"Everybody's Gotta Learn Sometime/The Korgis","2 many dj's","12A",115.3,"Electronica/Dance","As Heard On Radio Soulwax Pt.9","",6/29/2023,"C:\iTunes\Music\2 Many DJ's\As Heard On Radio Soulwax Pt.9\36 Everybody's Gotta Learn Sometime_The Korgis.mp3","12A - 4",2004,-12.8 dB,4,8,65
"Mas Maiz","Radical One","1A",150.0,"","Mas Pavo 2","",6/30/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Mas Pavo 2\Radical One - Mas Pavo 2 - 04 Mas Maiz.mp3","1A - 8 - Visit http://radicalone.bandcamp.com",2018,-8.8 dB,8,5,3
"Smokestack Lightning (Live)","The Yardbirds","9A",142.1,"Rock","The Very Best Of The Yardbirds","",1/13/2024,"C:\iTunes\Music\The Yardbirds\The Very Best Of The Yardbirds\07 Smokestack Lightning (Live).mp3","9A - 4",2005,-20.8 dB,4,7,0
"Hat2 One Shot Less","DJ Shiftee","All",0.0,"Dubstep Scratch","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\Hat2 One Shot Less.wav"," - 0",,-42.7 dB,0,0,0
"Hankie","Aphex Twin","7A",100.5,"Ambient","Selected Ambient Works, Volume II [CD1]","",6/29/2023,"C:\iTunes\Music\Aphex Twin\Selected Ambient Works, Volume II [CD1]\04 Hankie.mp3","7A - 2",1994,-16.7 dB,2,8,0
"Flight Tonight","The Avalanches","3A",112.0,"Electronica","Since I Left You","",6/29/2023,"C:\iTunes\Music\The Avalanches\Since I Left You\06 Flight Tonight.mp3","3A - 7",2000,-11.7 dB,7,8,88
"The Blend","Radical One","3A",89.0,"","Radical One Presents: The Melting Pot EP","",6/30/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Radical One Presents- The Melting Pot EP\Radical One - Radical One Presents- The Melting Pot EP - 01 The Blend.mp3","3A - 5 - Visit http://radicalone.bandcamp.com",2015,-11.2 dB,5,7,0
"TL7","Deadmau5","1A",129.0,"Dance","At Play, Vol. 3","",1/13/2024,"C:\iTunes\Music\Deadmau5\At Play, Vol. 3\05 TL7.mp3","1A - 6",2010,-12.1 dB,6,8,146
"As Serious as Your Life (DJ Premier Remix)","Jay Dee","3A",90.0,"Hip Hop/Rap","As Serious As Your Life 12""","",1/13/2024,"C:\iTunes\Music\Jay Dee\As Serious As Your Life 12_\04 As Serious as Your Life (DJ Premier Remix).mp3","3A - 6",2006,-10.3 dB,6,8,10249
"Slasherr","Rustie","6A",145.0,"","Triadzz / Slasherr","",1/13/2024,"C:\iTunes\Music\Rustie\Triadzz _ Slasherr\1-02 Slasherr.mp3","6A - 8",2013,-11.3 dB,8,8,301
"Hot Shot (12"" Mix)","Karen Young","7A",119.4,"Disco","Hot Shot (Expanded Edition)","",9/8/2021,"C:\Users\louis.media\Music\Disco\Hot Shot (12 Mix) Karen Young.mp3","7A - 6",2004,-28.1 dB,6,8,0
"Production","The Wiseguys","5A",100.0,"Big Beat","The Antidote","",1/13/2024,"C:\iTunes\Music\The Wiseguys\The Antidote\14 Production.mp3","5A - 4",,-13.4 dB,4,8,8
"Butter King Jewels","Madvillain","9A",120.1,"Hip Hop","Madvillainy 2: The Madlib Remix","",1/13/2024,"C:\iTunes\Music\Madvillain\Madvillainy 2_ The Madlib Remix\17 Butter King Jewels.mp3","9A - 6",2008,-12.6 dB,6,8,30
"vacation","80's collection Vol.3","12B",157.8,"Oldies","80's collection Vol.3","",6/29/2023,"C:\iTunes\Music\80's collection Vol.3\80's collection Vol.3\04 vacation.mp3","12B - 7",1980,-18.6 dB,7,8,0
"White Knight (Black In The Day)","Luke Vibert & Jean-Jacques Perrey","4A",145.0,"Electronica/IDM","Moog Acid","",1/13/2024,"C:\iTunes\Music\Luke Vibert & Jean-Jacques Perrey\Moog Acid\10 White Knight (Black In The Day).mp3","4A - 5",2007,-11.3 dB,5,8,3
"0002 D - bRpeat","0002 D","All",0.0,"","","",6/29/2023,"C:\Users\louis.media\Downloads\Tom Cosm - DJ Megaset 2.0 Project\Samples\Recorded\0002 D - bRpeat.aif"," - 4",,-200.0 dB,4,0,0
"Track 29","Jay Dee","7A",87.6,"Hip Hop/Rap","3 Beat Tapes","instrumental",1/13/2024,"C:\iTunes\Music\Jay Dee\3 Beat Tapes\2-29 Track 29.mp3","7A - 6",2005,-20.6 dB,6,1,45
"Kool & the Gang - Joanna","Kool & the Gang","6B",105.2,"","","",6/29/2023,"C:\iTunes\Music\03\Unknown Album\Kool & the Gang - Joanna.mp3","6B - 7",,-17.5 dB,7,8,0
"Starlove","Marchand","12A",127.0,"Electronic","discodust.blogspot.com","",1/13/2024,"C:\iTunes\Music\Marchand\discodust.blogspot.com\Starlove.mp3","12A - 7",2009,-11.0 dB,7,7,1426
"Snake Charmer","Bag Raiders","8A",123.0,"Pop","Bag Raiders","",6/29/2023,"C:\iTunes\Music\Bag Raiders\Bag Raiders\08 Snake Charmer.mp3","8A - 6",2010,-9.4 dB,6,8,643
"Into The Rainbow Vein","Boards Of Canada","8B",88.0,"Electronica/Dance","The Campfire Headphase","",1/13/2024,"C:\iTunes\Music\Boards of Canada\The Campfire Headphase\01 Into The Rainbow Vein.mp3","8B - 4",2005,-24.7 dB,4,5,0
"Mai's Theme","Onra","11A",90.8,"","Chinoiseries Pt. 2","",1/13/2024,"C:\iTunes\Music\Onra\Chinoiseries Pt. 2\07 Mai's Theme.mp3","11A - 5",,-11.7 dB,5,7,0
"Motor","Amon Tobin","3A",150.9,"Electronica","Verbal mixes and collaborations","",6/29/2023,"C:\iTunes\Music\Amon Tobin\Verbal mixes and collaborations\11 B1 - Motor.mp3","3A - 7",,-14.0 dB,7,8,0
"Latin Percussion Sample 1","","4A",120.1,"","","",6/29/2023,"D:\Breakfast Beats\Samples\Latin Percussion Sample 1.wav","4A - 4",,-19.3 dB,4,8,4
"Don't Stop","Jay Dee","10A",100.9,"Hip Hop/Rap","Jay Dee Project","",1/13/2024,"C:\iTunes\Music\Jay Dee\Jay Dee Project\07 Don't Stop.mp3","10A - 6",,-18.1 dB,6,8,0
"Mack The Knife","Michael Bublé","3A",80.0,"Jazz","The Michael Bublé Collection","",1/13/2024,"C:\iTunes\Music\Michael Bublé\The Michael Bublé Collection\5-05 Mack The Knife.mp3","3A - 4",2011,-13.1 dB,4,4,2186
"Blue Monday","New Order","7A",129.2,"Dance","Cream Classics Vol. 2","",1/13/2024,"C:\iTunes\Music\New Order\Cream Classics Vol. 2\Blue Monday.mp3","7A - 7",,-13.0 dB,7,8,82
"Tha Pope - Jungle Juke","Tha Pope","9A",82.5,"","","",6/29/2023,"C:\iTunes\Music\03\Unknown Album\Tha Pope - Jungle Juke.mp3","9A - 5",,-11.1 dB,5,7,6
"Around the World","Daft Punk","9A",121.3,"Electronica","Homework","",1/13/2024,"C:\iTunes\Music\Daft Punk\Homework\07 Around the World.mp3","9A - 7",1996,-13.1 dB,7,8,19252
"Wild Things_Instr_158bpm","Andy Mineo","5A",158.0,"","Heroes For Sale (instrumentals)","",6/29/2023,"C:\iTunes\Music\Andy Mineo\Heroes For Sale (instrumentals)\Wild Things_Instr_158bpm.mp3","5A - 7",2013,-12.8 dB,7,8,51
"Think It Over (Undubbed Alternate Take)","Buddy Holly","11B",130.5,"Rock & Roll","Not Fade Away (The Complete Studio Recordings & More)","",1/13/2024,"C:\iTunes\Music\Buddy Holly\Not Fade Away (The Complete Studio Recordings & More)\4-02 Think It Over (Undubbed Alternate Take).mp3","11B - 4",2009,-18.7 dB,4,8,0
"DayORip","","4A",128.3,"Blues","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\DayORip.mp3","4A - 6",2017,-12.8 dB,6,2,0
"On My Way","Valerie June","10B",96.0,"","Pushin' against a Stone","",1/13/2024,"C:\iTunes\Music\Valerie June\Pushin' against a Stone\11 On My Way.mp3","10B - 3",2013,-11.9 dB,3,4,6982
"Track 06","JAY DEE","3A",92.0,"","BEAT CD","",1/13/2024,"C:\iTunes\Music\Jay Dee\BEAT CD\1-06 Track 06.mp3","3A - 5",,-11.8 dB,5,8,1999
"Encore","Justice","8B",106.0,"Electronica","A Cross The Universe","",1/13/2024,"C:\iTunes\Music\Justice\A Cross The Universe\16 Encore.mp3","8B - 3",2008,-11.7 dB,3,3,173
"Skinny Fit (Original Mix)","Nid & Sancy","4A",130.0,"Techno","","",1/13/2024,"C:\iTunes\Music\Nid & Sancy\Unknown Album\Skinny Fit (Original Mix).mp3","4A - 7",2012,-7.9 dB,7,8,11190
"Faith To Fall Back On","Hunter Hayes","5B",90.0,"Country","Hunter Hayes (Encore)","",1/13/2024,"C:\iTunes\Music\Hunter Hayes\Hunter Hayes (Encore)\05 Faith To Fall Back On.mp3","5B - 7",2013,-12.7 dB,7,8,160
"Last Dance","Donna Summer","5A",125.4,"Disco","On the Radio: Greatest Hits, Vol. I & II","",9/8/2021,"C:\Users\louis.media\Music\Disco\Last Dance Donna Summer.mp3","5A - 7",2002,-33.0 dB,7,5,0
"Kool & the Gang - Stand up and sing","Kool & the Gang","4A",111.6,"","","",6/29/2023,"C:\iTunes\Music\09\Unknown Album\Kool & the Gang - Stand up and sing.mp3","4A - 6",,-17.3 dB,6,8,4
"Bingo Players Rattle Louie Edit","","4A",140.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Bingo Players Rattle Louie Edit.mp3","4A - 7",,-11.5 dB,7,8,1658
"CORAZON DESNUDO","Radical One","7A",136.0,"","RELIEF.","",6/30/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - RELIEF\Radical One - RELIEF. - 06 CORAZON DESNUDO.mp3","7A - 6 - Visit http://radicalone.bandcamp.com",2018,-10.9 dB,6,5,0
"Far From Home (Original Mix)","Feadz (feat. Claude Violante)","9A",125.7,"Electronic","Let The Children Techno","",1/13/2024,"C:\iTunes\Music\Feadz (feat. Claude Violante)\Let The Children Techno\13 Far From Home (Original Mix).mp3","9A - 7",2011,-10.1 dB,7,8,3685
"Flynn Remembers","Daft Punk","7A",138.1,"Soundtrack","Tron: Legacy Score","",1/13/2024,"C:\iTunes\Music\Daft Punk\Tron_ Legacy Score\02 Flynn Remembers.mp3","7A - 2",2010,-18.9 dB,2,8,0
"Book Of Love","","6B",99.6,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Book Of Love.wav","6B - 4",,-20.9 dB,4,4,2
"Musical Box","Wagon Christ","8A",121.3,"Electronica","Tally Ho!","",1/13/2024,"C:\iTunes\Music\Wagon Christ\Tally Ho!\12 Musical Box.mp3","8A - 6",1998,-13.4 dB,6,8,1915
"Bump That (Xmas VIP)","Aylen & DIV_IDE","9A",128.0,"Electro","A Very Decent Christmas Vol. 4","",6/29/2023,"C:\iTunes\Music\Various Artists\A Very Decent Christmas Vol. 4\08 Bump That (Xmas VIP).mp3","9A - 7",2016,-8.4 dB,7,8,36074
"2011-05-14_21h57m58","","9A",115.8,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\2011-05-14_21h57m58.wav","9A - 7",,-16.8 dB,7,3,265
"Love Missile F1-11","Sigue Sigue Sputnik","9A",96.7,"Synthpop","21st Century Boys (The Best Of)","",1/13/2024,"C:\iTunes\Music\Sigue Sigue Sputnik\21st Century Boys (The Best Of)\02 Love Missile F1-11.mp3","9A - 7",2001,-18.1 dB,7,6,0
"Kirk","Mr. Oizo","3A",125.0,"Electro","#1","",1/13/2024,"C:\iTunes\Music\Mr. Oizo\#1\02 Kirk.mp3","3A - 5",1997,-15.6 dB,5,8,94
"Glory Of Love","Peter Cetera","5A",145.3,"Soft Rock","Sounds Of The Eighties: 1986","",1/13/2024,"C:\iTunes\Music\Peter Cetera\Sounds Of The Eighties_ 1986\09 Glory Of Love.mp3","5A - 5",,-19.9 dB,5,8,0
"Southeast Soliloquay","The Slew","11A",118.1,"Alternative & Punk","100%","",1/13/2024,"C:\iTunes\Music\The Slew\100%\09 Southeast Soliloquay.mp3","11A - 7",2009,-10.7 dB,7,8,2
"No Pause","Girl Talk","3A",105.0,"Pop","Feed The Animals","",1/13/2024,"C:\iTunes\Music\Girl Talk\Feed The Animals\06 No Pause.mp3","3A - 7",2008,-12.5 dB,7,8,81
"The Final Bell","","8A",79.7,"Blues","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\The Final Bell.mp3","8A - 4",,-16.6 dB,4,8,0
"Brokeback Mountain - The Wings - Gustavo Santaolalla","Cinema Themes and Music","9B",88.0,"Soundtrack","Cinema Themes and Music","",1/13/2024,"C:\iTunes\Music\Cinema Themes and Music\Cinema Themes and Music\Brokeback Mountain - The Wings - Gustavo Santaolalla.mp3","9B - 3",2005,-19.3 dB,3,5,0
"Funeral March","Choir And Orchestra Of Saint Patrick's Cathedral","9A",140.3,"Folk","Famine Remembrance","",1/13/2024,"C:\iTunes\Music\Patrick Cassidy\Famine Remembrance\09 Funeral March.mp3","9A - 2",1997,-23.5 dB,2,8,0
"Only One Road","Celine Dion","6B",105.9,"Pop","The Essential","",1/13/2024,"C:\iTunes\Music\Celine Dion\The Essential\22 Only One Road.mp3","6B - 4",2011,-14.9 dB,4,8,532
"Levitating","invention_","7B",132.0,"","Chillhop Essentials - Spring 2019","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Essentials - Spring 2019\17 Levitating.mp3","7B - 4 - Visit http://chillhop.bandcamp.com",2019,-13.6 dB,4,6,91
"Jesse's girl","80's collection vol.2","10B",132.7,"Oldies","80's collection vol.2","",6/29/2023,"C:\iTunes\Music\80's collection vol.2\80's collection vol.2\05 Jesse's girl.mp3","10B - 7",1980,-17.2 dB,7,7,0
"Hammer Dance","araabMUZIK","3A",93.8,"","For Professional Use Only","",6/29/2023,"C:\iTunes\Music\araabMUZIK\For Professional Use Only\05 Hammer Dance.mp3","3A - 6",2013,-7.5 dB,6,4,10525
"Submarine Kit - A4","Native Instruments","7A",139.8,"","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\Submarine Kit - A4 - 5.wav","7A - 4",,-17.4 dB,4,0,0
"(The Clash vs the Bloody Beetroots)","The Bloody Beetroots","7A",130.0,"Other","Mashups: Aggro1","",1/13/2024,"C:\iTunes\Music\The Bloody Beetroots\Mashups_ Aggro1\(The Clash vs the Bloody Beetroots).mp3","7A - 8",,-8.7 dB,8,8,240
"Body Count","Justin Timberlake","2A",120.0,"Pop","The 20/20 Experience","",1/13/2024,"C:\iTunes\Music\Justin Timberlake\The 20_20 Experience\12 Body Count.mp3","2A - 6",2013,-10.9 dB,6,8,7464
"DAY 24","Ta-ku","2A",97.0,"","50 Days For Dilla (Vol. 1)","",1/13/2024,"C:\iTunes\Music\Ta-ku\50 Days For Dilla (Vol. 1)\24 DAY 24.mp3","2A - 6",2012,-10.2 dB,6,8,1768
"Miami 2 Ibiza (Instrumental)","Swedish House Mafia","6A",126.1,"House","VA - Until One (Mixed By Swedish House Mafia) (2010)","",1/13/2024,"C:\iTunes\Music\Swedish House Mafia\VA - Until One (Mixed By Swedish House Mafia) (2010)\02 Miami 2 Ibiza (Instrumental).mp3","6A - 8",2010,-11.9 dB,8,6,221
"Track 11","Jay Dee","4A",93.9,"Hip Hop/Rap","3 Beat Tapes","instrumental",1/13/2024,"C:\iTunes\Music\Jay Dee\3 Beat Tapes\2-11 Track 11.mp3","4A - 4",2005,-12.3 dB,4,8,845
"Raining In My Heart (Stereo)","Buddy Holly","9B",105.5,"Rock & Roll","Not Fade Away (The Complete Studio Recordings & More)","",1/13/2024,"C:\iTunes\Music\Buddy Holly\Not Fade Away (The Complete Studio Recordings & More)\4-22 Raining In My Heart (Stereo).mp3","9B - 2",2009,-17.2 dB,2,8,0
"Rained the Whole Time","Shlohmo","9A",131.0,"Electronic","Vacation","",1/13/2024,"C:\iTunes\Music\Shlohmo\Vacation\03 Rained the Whole Time.mp3","9A - 2",2012,-8.2 dB,2,7,1080
"Blood Of God (Live Version)","Johnathan Rice","8B",140.0,"Rock","Blood Of God","",1/13/2024,"C:\iTunes\Music\Johnathan Rice\Blood Of God\01 Blood Of God (Live Version).m4a","8B - 7",2006,-11.7 dB,7,8,46
"Lazy Mary","","7B",121.8,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Lazy Mary.mp3","7B - 4",,-13.4 dB,4,5,0
"Gracias (Red Meat Therapy Remix)","Miguel Bastida","8A",121.0,"Progressive House, Deep House, Tech House, Electro House, Indie Dance / Nu Disco","Beatport Top 100 March 2014","",1/13/2024,"C:\iTunes\Music\Various Artists\Beatport Top 100 March 2014\68 Gracias (Red Meat Therapy Remix).mp3","8A - 6",2014,-10.9 dB,6,8,151
"DAY 14","Ta-ku","2A",84.0,"","50 Days For Dilla (Vol. 1)","",1/13/2024,"C:\iTunes\Music\Ta-ku\50 Days For Dilla (Vol. 1)\14 DAY 14.mp3","2A - 6",2012,-17.0 dB,6,5,0
"Blood (Prod. by El RTNC)","Your Old Droog","9A",123.7,"Hip-Hop/Rap","KINISON EP","",1/13/2024,"C:\iTunes\Music\Your Old Droog\KINISON EP\02 Blood (Prod. by El RTNC).mp3","9A - 3",2015,-10.4 dB,3,4,2563
"Limmerstreet Vinyl HiHat 2","","All",0.0,"","","",6/29/2023,"D:\Breakfast Beats\LimmerStreet\Samples\Limmerstreet Drums\Limmerstreet Vinyl HiHat 2.wav"," - 0",,-32.9 dB,0,0,0
"3 EXT REC","","8A",111.1,"","","",6/29/2023,"D:\Breakfast Beats\LimmerStreet\Samples\Processed\Crop\3 EXT REC.wav","8A - 4",,-18.6 dB,4,0,0
"Is It Love?","TKA","8A",122.1,"Freestyle","Greatest Hits","",1/13/2024,"C:\iTunes\Music\TKA\Greatest Hits\13 Is It Love_.mp3","8A - 7",,-17.0 dB,7,8,1
"Begin With The End (Lecrae)","116 Clique","9A",81.5,"Pop","Thirteen Letters","",6/29/2023,"C:\iTunes\Music\Compilations\Thirteen Letters\01 Begin With The End (Lecrae).m4a","9A - 8",2007,-10.9 dB,8,8,250
"What's Going On","Marvin Gaye","12B",100.0,"","Maria Maria Soundtrack CD1","",1/13/2024,"C:\iTunes\Music\Marvin Gaye\Maria Maria Soundtrack CD1\04 What's Going On.m4a","12B - 4",,-20.4 dB,4,7,0
"A.T.H.F.","DangerDoom","2A",88.8,"Blues","The Mouse & The Mask","",1/13/2024,"C:\iTunes\Music\DangerDoom\The Mouse & The Mask\07 A.T.H.F..mp3","2A - 6 - All",2005,-11.8 dB,6,5,1414
"Children of the Atom","Captain Murphy","7A",157.4,"","Duality (Instrumentals)","",1/13/2024,"C:\iTunes\Music\Captain Murphy\Duality (Instrumentals)\05 Children of the Atom.mp3","7A - 3",,-6.7 dB,3,8,5254
"Celebrate Yourself","Kid606","8A",122.6,"Electronic","Shout at the Doner","",1/13/2024,"C:\iTunes\Music\Kid606\Shout at the Doner\12 Celebrate Yourself.mp3","8A - 3",2009,-22.4 dB,3,5,0
"I Will","The Beatles","7B",97.8,"Rock","Anthology 3 - Disc 1","",1/13/2024,"C:\iTunes\Music\The Beatles\Anthology 3 - Disc 1\25 I Will.mp3","7B - 3",1996,-23.0 dB,3,4,0
"Saydee","Lakey Inspired","10A",132.0,"","Chillhop Essentials - Summer 2018","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Essentials - Summer 2018\19 Saydee.mp3","10A - 4 - Visit http://chillhop.bandcamp.com",2018,-14.3 dB,4,7,20
"Limmerstreet Singing Drum 4","","5A",155.3,"","","",6/29/2023,"D:\Breakfast Beats\LimmerStreet\Samples\Limmerstreet Singing Drum 4.wav","5A - 4",,-22.3 dB,4,0,0
"Take Notice (feat. Guilty Simpson)","Jay Dee","4A",83.6,"Hip Hop/Rap","Ruff Draft","",1/13/2024,"C:\iTunes\Music\Jay Dee\Ruff Draft\13 Take Notice (feat. Guilty Simpson).mp3","4A - 6",2007,-12.6 dB,6,4,0
"GAK 4","Gak","2A",119.9,"Electronica/Rock","GAK","",1/13/2024,"C:\iTunes\Music\Gak\GAK\04 GAK 4.mp3","2A - 6",1994,-16.6 dB,6,5,0
"Gravity's Rainbow [Soulwax Remix]","Klaxons","9A",132.0,"Electronic","Most Of The Remixes...","",1/13/2024,"C:\iTunes\Music\Soulwax\Most Of The Remixes.._\1-04 Gravity's Rainbow [Soulwax Remix].mp3","9A - 7",2007,-10.9 dB,7,8,1802
"Blood On Blood","Bon Jovi","10B",138.5,"Rock","Greatest Hits - The Ultimate Collection","",1/13/2024,"C:\iTunes\Music\Bon Jovi\Greatest Hits - The Ultimate Collection\2-12 Blood On Blood.mp3","10B - 7",2010,-10.5 dB,7,8,1084
"Even (Original Mix)","Avicii & Sebastien Drums","4A",128.0,"Progressive House","","",6/29/2023,"C:\iTunes\Music\Avicii & Sebastien Drums\Unknown Album\Even (Original Mix).mp3","4A - 7",,-12.6 dB,7,8,0
"The Truth","Lecrae","5A",156.0,"Hip-Hop","After The Music Stops","",1/13/2024,"C:\iTunes\Music\Lecrae\After The Music Stops\04 The Truth.mp3","5A - 6",2006,-16.0 dB,6,7,1
"Pt. 2 Feat. Desiigner","Kanye West","2A",145.1,"","The Life of Pablo","",1/13/2024,"C:\iTunes\Music\Kanye West\The Life of Pablo\03 Pt. 2 Feat. Desiigner.mp3","2A - 5",2016,-11.1 dB,5,6,21
"Right Now (Feat. David Guetta)","Rihanna","2A",130.0,"R&B","Unapologetic","",1/13/2024,"C:\iTunes\Music\Rihanna\Unapologetic\07 Right Now (Feat. David Guetta).mp3","2A - 7",2012,-10.8 dB,7,8,439
"Allure","DJ Danger Mouse","10B",90.0,"Hip-Hop","The Grey Album","",1/13/2024,"C:\iTunes\Music\DJ Danger Mouse\The Grey Album\09Allure.mp3","10B - 6",2004,-9.0 dB,6,5,58
"Open Wound (ODESZA Remix)","Ki:Theory","2A",140.0,"Alternative","KITTY HAWK Deluxe","",1/13/2024,"C:\iTunes\Music\Ki_Theory\KITTY HAWK Deluxe\08 Open Wound (ODESZA Remix).mp3","2A - 7",2014,-11.0 dB,7,8,551
"Love Me Do","The Beatles","9B",137.2,"Rock","Anthology 1 -  Disc 1","",1/13/2024,"C:\iTunes\Music\The Beatles\Anthology 1 -  Disc 1\22 Love Me Do.mp3","9B - 4",1995,-20.1 dB,4,3,0
"Hiji Suru STYLE","FORCE OF NATURE - Nujabes - fat jon/FORCE OF NATURE, Nujabes, fat jon/FORCE OF NATURE Nujabes fat jon","12A",93.5,"Other","Samurai Champloo: Impression","",1/13/2024,"C:\iTunes\Music\Compilations\Samurai Champloo_ Impression\03 Hiji Suru STYLE.mp3","12A - 7",2004,-9.3 dB,7,8,18581
"The Wanderer","Dion","10B",115.8,"Soundtrack","The Wanderers","",1/13/2024,"C:\iTunes\Music\Dion\The Wanderers\12 The Wanderer.mp3","10B - 4",1979,-18.9 dB,4,3,0
"Sweet Sensation","The Melodians","7B",124.3,"Reggae","King Kong Compilation","",1/13/2024,"C:\iTunes\Music\The Melodians\King Kong Compilation\03 Sweet Sensation.mp3","7B - 4",,-15.0 dB,4,8,6
"Jingle Bells","Boney M","6B",87.6,"Chirstmas Songs","Top Christmas Songs of All Time","",1/13/2024,"C:\iTunes\Music\Guy Lombardo\Top Christmas Songs of All Time\11 Jingle Bells.mp3","6B - 6",1986,-17.6 dB,6,4,0
"Rippin kittin","Golden Boy ft. Miss Kitten","8A",122.0,"","","",1/13/2024,"C:\iTunes\Music\Golden Boy ft. Miss Kitten\Unknown Album\Rippin kittin.mp3","8A - 5",,-11.5 dB,5,5,159
